Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
VNTLP-475,Rượu Vang Ulysse Bordeaux,475.000,"Pháp
","14 %
","750 ML
","Merlot,Cabernet franc,Cabernet Sauvignon",Đỏ ruby ,Rượu Vang Đỏ,,"
"
VNTH20-550,Rượu Vang Ulysse De Chateau Cazeau,550.000,"Pháp
","14 %
","750 ML
","Cabernet Sauvignon,Merlot,Cabernet Franc", Đỏ ruby,Rượu Vang Đỏ,,Bordeaux
,Rượu Vang Undurraga Flor De Vina Grand Reserve,594.000,"Chile
","14.5 %
","750 ML
",Cabernet Sauvignon,,Rượu vang Đỏ,,Colchagua Valley
VNTL-598,Rượu Vang Uno 1 Primitivo Di Manduria,620.000,"Ý
","14.5 %
","750 ML
",,,,,
VNTK-745,Rượu Vang Uno 1 Primitivo Di Manduria Riserva,680.000,"Ý
","14.5 %
","750 ML
",,,,,
VNPV1-530,Rượu Vang Unruly Zinfandel California,477.000,"Mỹ
","13.5 %
","750 ML
",Zinfandel, Đỏ ruby,Rượu Vang Đỏ,: Unruly,California
VNNE-1450,Rượu Vang V1 Primitivo Di Manduria,1,"Ý
","14.5 %
","750 ML
",,,,,
VNHD-3250,Rượu Vang V10 Primitivo Del Salento Limited Edition,3.250.000,"Ý
","18.5 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,Feudi Salentini,Puglia
VNNE-850,Rượu Vang V2 Primitivo Del Salento,1,"Ý
","14 %
","750 ML
",,,,,
VNNE-750,Rượu Vang V3 Negroamaro Del Salento,1,"Ý
","14 %
","750 ML
",,,,,
VNNEIR-1050,Rượu Vang V6 Salice Salentino – Varvaglione 1921,900.000,"Ý
","14 %
","750 ML
",Negroamaro, Màu đỏ tươi,Rượu Vang Đỏ,Varvaglione 1921,Puglia
VNHM-1850,Rượu Vang Valdivieso Caballo Loco,1.850.000,"Chile
","14.5 %
","750 ML
","Cabernet Sauvignon,Blend,Malbec",,Rượu Vang Đỏ,Valdivieso,Central Valley
VNHM-1750,Rượu Vang Valdivieso Caballo Loco Grand Cru Maipo Andes,1.750.000,"Chile
","14.5 %
","750 ML
","Cabernet Sauvignon,Cabernet Franc",,Rượu Vang Đỏ,Valdivieso, Maipo Andes
VNTH-240,Rượu Vang Valdivieso Cabernet Sauvignon,240.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon, Đỏ,Rượu vang đỏ,: ,Central Valley
VNTH5-550,Rượu Vang Valdivieso Gran Reserva Cabernet Sauvignon,550.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon, Đỏ đậm,Rượu Vang Đỏ,,
VNTH6-550,Rượu Vang Valdivieso Gran Reserva Chardonnay,550.000,"Chile
","14 %
","750 ML
",Chardonnay, Vàng đậm có sắc xanh,Rượu Vang Trắng,,
VNHM-310,Rượu Vang Valdivieso Rose,310.000,"Chile
","13 %
","750 ML
",Cabernet Sauvignon,,Rượu Vang Hồng,Valdivieso,Central Valley
VNTH2-750,Rượu Vang Valdivieso Single Vineyard Cabernet Sauvignon,750.000,"Chile
","14.5 %
","750 ML
",Cabernet Sauvignon, Đỏ ruby đậm có ánh tím,Rượu Vang Đỏ,,Maipo Valley
VNTH3-750,Rượu Vang Valdivieso Single Vineyard Chardonnay,750.000,"Chile
","13.5 %
","750 ML
",Chardonnay, Vàng chanh,Rượu Vang Trắng,,Central Valley
VNHM1-420,Rượu Vang Valdivieso Sparkling Brut,420.000,"Chile
","12 %
","750 ML
","Pinot Noir,Chardonnay", ,Rượu Vang Nổ,Valdivieso,Central Valley
VNTH-350,Rượu Vang Valdivieso Winemaker Reserva Cabernet Sauvignon,350.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon, Đỏ,Rượu vang đỏ,: ,: Rapel Valley
VNTH1-350,Rượu Vang Valdivieso Winemaker Reserva Sauvignon Blanc,350.000,"Chile
","13.5 %
","750 ML
",Sauvignon Blanc, Vàng nhạt,Rượu vang trắng,: ,Aconcagua Valley
VNVC-1870,Rượu Vang Valenciso 10 Anos Despues,1.870.000,"Tây Ban Nha
","14.5 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Valenciso,: Riojo Alto
VNVC1-902,Rượu Vang Valenciso Laderas De Cabama Rioja,902.000,"Tây Ban Nha
","14 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Valenciso,Riojo Alto
VNVC-2596,Rượu Vang Valenciso Reserva Magnum,2.596.000,"Tây Ban Nha
","14.5 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Valenciso,: Riojo Alto
VNVC2-1375,Rượu Vang Valenciso Reserva Rioja,1.375.000,"Tây Ban Nha
","14.5 %
","1500 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Valenciso,: Riojo Alto
VNVC-1034,Rượu Vang Valenciso Rioja Blanco,1.034.000,"Tây Ban Nha
","14 %
","750 ML
",Grenache,Vàng rơm,Rượu Vang Trắng,Valenciso,Riojo Alto
VNAV-1100,Rượu Vang Valle Secreto First Edition Cabernet Sauvignon,950.000,"Chile
","14.5 %
","750 ML
",,,,,
VNAV-1260,Rượu Vang Valle Secreto Private,1.020.000,"Chile
","14.5 %
","750 ML
",,,,,
VNVH2-320,Rượu Vang Valmaduro Premium Casa Santos Lima,320.000,"Bồ Đào Nha
","14 %
","750 ML
","Cabernet Sauvignon,Syrah",Đỏ ruby,Rượu Vang Đỏ,Casa Santos Lima,Lisboa
VNVH-680,Rượu Vang Valréas Côtes Du Rhône Villages,680.000,"Pháp
","15 %
","750 ML
","Syrah,Grenache",Đỏ ruby ,Rượu Vang Đỏ,Valréas Côtes, Bastide del Puech
VNMH1-500,Rượu Vang Vanita Nero D’Avola,496.000,"Ý
","13 %
","750 ML
",Nero d’Avola, Đỏ ruby,Rượu Vang Đỏ,Farnese,Puglia
VNMH2-550,Rượu Vang Vanita Primitivo Puglia,550.000,"Ý
","14 %
","750 ML
",Primitivo, Đỏ ruby,Rượu Vang Đỏ,Farnese,Puglia
VNWH2 - 794,Rượu Vang Vasse Felix Filius Cabernet Sauvignon,760.000,"ÚC
","14 %
","750 ML
",Cabernet Sauvignon, Màu đỏ gạch,Rượu vang đỏ,Vasse Felix, Margaret River
,Rượu Vang Vasse Felix Heytesbury,2.350.000,"ÚC
","14.5 %
","750 ML
","Cabernet Sauvignon,Merlot", Màu đỏ gạch,Rượu vang đỏ,Vasse Felix, Margaret River
VNWH1 - 1550,Rượu Vang Vasse Felix Margaret River Cabernet Sauvignon,1.500.000,"ÚC
","14 %
","750 ML
",Cabernet Sauvignon, Màu đỏ ruby,Rượu vang đỏ,Vasse Felix, Margaret River
VNWH10-750,Rượu Vang Vasse Felix Sauvignon Blanc – Semillon,860.000,"ÚC
","12 %
","750 ML
","Sauvignon Blanc,Semillon", Vàng nhạt,Rượu Vang Trắng,Vasse Felix,: Margaret River
VNWH-5500,Rượu Vang Vasse Felix Tom Cullity Cabernet Sauvignon Malbec,4.100.000,"ÚC
","14.5 %
","750 ML
","Cabernet Sauvignon,Malbec", Màu đỏ đậm,Rượu vang đỏ,Vasse Felix, Margaret River
VNKR-610,Rượu Vang Vecchia Torre Leverano Riserva,610.000,"Ý
","14 %
","750 ML
","Negroamaro,Malvasia Nera",Đỏ ruby,Rượu Vang Đỏ,Vecchia Torre,Puglia
VNYW-836,Rượu Vang Vecchie Vigne Passo Antico,836.000,"Ý
","13.5 %
","750 ML
",Carignan,,Appassimento, Passo Antico,Vendemmia
VNPV-5977,Rượu Vang Vega Sicilia Tinto Valbuena 5°,5.380.000,"Tây Ban Nha
","14.5 %
","750 ML
","Tempranillo,Merlot", Đỏ,Rượu Vang Đỏ,: Vega Sicilia,: Ribera del Duero
VNPV-15296,Rượu Vang Vega Sicilia Unico Ribera Del Duero,13.767.000,"Tây Ban Nha
","13.5 %
","750 ML
","Tempranillo,Cabernet Sauvignon,Merlot", Đỏ,Rượu vang đỏ,: Vega Sicilia,: Ribera Del Duero
VNWH1 - 550,Rượu Vang Velenosi Montepulciano D’Abruzzo,1,"Ý
","15.5 %
","750 ML
",Montepulciano, Đỏ ruby,Rượu Vang Đỏ,Velenosi,Abruzzo
VNTBM-250,Rượu Vang Venta Morales Tempranillo,250.000,"Tây Ban Nha
","13.5 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Venta Morales, Castilla-La Mancha
VNTL1-223,Rượu Vang Ventisquero Clasico Chardonnay,240.000,"Chile
","13 %
","750 ML
",,,,,
VNTL-223,Rượu Vang Ventisquero Classico Cabernet Sauvignon,240.000,"Chile
","13.5 %
","750 ML
",,,,,
VNTL1-820,Rượu Vang Ventisquero Grey Cabernet Sauvignon,820.000,"Chile
","14 %
","750 ML
","Carmenere,Syrah,Cabernet Sauvignon",,Rượu vang Đỏ,,Central Valley
VNTL-1204,Rượu Vang Ventisquero Grey Ultra Limited Release Cabernet Sauvignon,1.204.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,,Rượu vang Đỏ,,Central Valley
VNTL-3230,Rượu Vang Ventisquero Obliqua Carmenere,3.230.000,"Chile
","13.8 %
","750 ML
",Carmenere,,Rượu vang Đỏ,,Central Valley
VNTL-240,Rượu Vang Ventisquero Peninsula Cabernet Sauvignon,240.000,"Chile
","13 %
","750 ML
",Cabernet Sauvignon,,Rượu vang Đỏ,,Central Valley
VNTL-690,Rượu Vang Ventisquero Peninsula Limited Edition Carmenere,690.000,"Chile
","14.5 %
","750 ML
",Carmenere,,Rượu vang Đỏ,,Central Valley
VNTL3-380,Rượu Vang Ventisquero Peninsula Reserva Cabernet Sauvignon,380.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,,Rượu vang Đỏ,,Central Valley 
VNTL1-240,Rượu Vang Ventisquero Peninsula Sauvignon Blanc,240.000,"Chile
","12.5 %
","750 ML
",Sauvignon Blanc,,Rượu vang Trắng,,Central Valley
VNTL-576,Rượu Vang Ventisquero Queulat Gran Reserva Carmenere – Merlot,576.000,"Chile
","14 %
","750 ML
","Carmenere,Merlot",,Rượu vang Đỏ,,Central Valley
VNTL1-576,Rượu Vang Ventisquero Queulat Gran Reserva Chardonnay,576.000,"Chile
","12.5 %
","750 ML
",Chardonnay,,Rượu vang Trắng,,Central Valley
VNTL-330,Rượu Vang Ventisquero Reserva Cabernet Sauvignon,380.000,"Chile
","13.5 %
","750 ML
",,,,,
VNTL1-380,Rượu Vang Ventisquero Reserva Carmenere,380.000,"Chile
","14 %
","750 ML
",Carmenere,,Rượu vang Đỏ,,Central Valley
VNTL7-331,Rượu Vang Ventisquero Reserva Chardonnay,380.000,"Chile
","13.5 %
","750 ML
",,,,,
VNTL2-380,Rượu Vang Ventisquero Reserva Sauvignon Blanc,380.000,"Chile
","12.5 %
","750 ML
",Sauvignon Blanc,,Rượu vang Trắng,,Central Valley
VNTL-1670,Rượu Vang Ventisquero Tara Atacama Syrah,1.670.000,"Chile
","13 %
","750 ML
",Syrah,,Rượu vang Đỏ,,Central Valley
VNTL-1596,Rượu Vang Ventisquero Vertice Carmenere – Syrah,1.596.000,"Chile
","14.5 %
","750 ML
","Carmenere,Syrah",,Rượu vang Đỏ,,Central Valley
VNTL-291,Rượu Vang Ventisquero Yelcho Reserva Cabernet Sauvignon,328.000,"Chile
","13.5 %
","750 ML
",,,,,
VNTL3-256,Rượu Vang Ventisquero Yelcho Reserva White,328.000,"Chile
","13.5 %
","750 ML
",,,,,
VNWP-1950,Rượu Vang Venus Limited Edition,1.950.000,"Ý
","16.5 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,Galiga Rufina,Puglia
VNAV-471,Rượu Vang Veo Ultima Cabernet Sauvignon,420.000,"Chile
","13.5 %
","750 ML
",,,,,
VNHD-525,Rượu Vang Veramonte Cabernet Sauvignon,525.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Veramonte,Colchagua Valley
VNHD3-650,Rượu Vang Veramonte Red Blend,650.000,"Chile
","14.5 %
","750 ML
","Syrah,Merlot,Cabernet Sauvignon,Cabernet Franc,Carménère",Đỏ ruby,Rượu Vang Đỏ,Veramonte,Central Valley
,Rượu Vang Vernice Bacio Rosso Primitivo,1.550.000,"Ý
","14.5 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,Vernice – NATV,Campania
VNVC-385,Rượu Vang Very Pêch,385.000,"Pháp
","10 %
","750 ML
",House Blended,Vàng nhạt,Rượu Vang trắng,,
VNQW1-618,Rượu Vang Vette Di San Leonardo,618.000,"Ý
","12.5 %
","750 ML
",Sauvignon Blanc,Vàng rơm,Rượu Vang Trắng,San Leonardo,:
VNTH1-650,Rượu Vang Vico Riviera 99 Nativ,650.000,"Ý
","13 %
","750 ML
",: Falanghina, Vàng nhạt,Rượu Vang Trắng,,: Irpinia
VNHP-1080,Rượu Vang Victor Bernard Chateauneuf Du Pape,1.080.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Mouvedre", Đỏ ruby,Rượu Vang Đỏ,: Victor Bernar,: Rhone Valley.
VNTL-1755,Rượu Vang Vidal Fleury Chateauneuf Du Pape,1.755.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Mourvedre", Đỏ,Rượu vang đỏ,: Vidal Fleury,: Cote Du Rhone
VNTL-935,Rượu Vang Vidal Fleury Cotes Du Rhone Villages,935.000,"Pháp
","14 %
","750 ML
","Shiraz,Grenache,Mourvedre,Carignan", Đỏ,Rượu vang đỏ,: Vidal Fleury,: Cote Du Rhone
VNTL-1166,Rượu Vang Vidal Fleury Crozes Hermitage,1.166.000,"Pháp
","13 %
","750 ML
",Shiraz, Đỏ,Rượu vang đỏ,: Vidal Fleury,: Cote Du Rhone
VNTL-2738,Rượu Vang Vidal Fleury La Chatillonne Cote Rotie,2.738.000,"Pháp
","14 %
","750 ML
","Shiraz,Viognier", Đỏ,Rượu vang đỏ,: Vidal Fleury,: Cote Du Rhone
VNYW-160,Rượu Vang Viesta Cabernet Sauvignon,160.000,"Chile
","12.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Viesta,
VNMH-1950,Rượu Vang Vietti Barolo Castiglione,1.790.000,"Ý
","14 %
","750 ML
",,,,,
VNMH-1050,Rượu Vang Vietti Dolcetto D’Alba Tre Vigne,1.790.000,"Ý
","13 %
","750 ML
",,,,,
VNPV-7416,Rượu Vang Vieux Chateau Certan Pomerol,6.675.000,"Pháp
","13 %
","750 ML
","Merlot,Cabernet Franc",Màu đỏ đậm,Rượu Vang đỏ,Vieux Chateau Certan,Bordeaux
VNHD4-1150,Rượu Vang Vieux Chateau Pelletan Saint Emilion Grand Cru,1.150.000,"Pháp
","13 %
","750 ML
","Merlot,Cabernet Sauvignon",Đỏ ruby,Rượu Vang Đỏ,,Bordeaux
VNTH1-780,Rượu Vang Vieux Clocher Beaumes De Venise,780.000,"Pháp
","14 %
","750 ML
","Shiraz,Grenache,Mourvedre", Đỏ,Rượu vang đỏ,: Vieux Clocher,Southern Rhone
VNTH-780,Rượu Vang Vieux Clocher Cairanne,780.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Mourvedre", Đỏ,Rượu vang đỏ,: Vieux Clocher,Southern Rhone
VNTH-1600,Rượu Vang Vieux Clocher Chateauneuf Du Pape,1.600.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Mourvedre,Cinsault", Đỏ,Rượu vang đỏ,: Vieux Clocher,Southern Rhone
VNTH-600,Rượu Vang Vieux Clocher Cotes Du Rhone,600.000,"Pháp
","13.5 %
","750 ML
","Shiraz,Grenache,Carignan", Đỏ,Rượu vang đỏ,: Vieux Clocher,Bordeaux
VNTH3-1150,Rượu Vang Vieux Clocher Gigondas,1.150.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Mourvedre", Đỏ,Rượu vang đỏ,: Vieux Clocher,Southern Rhone
VNTH4-950,Rượu Vang Vieux Clocher Vacqueyras,950.000,"Pháp
","14.5 %
","750 ML
","Shiraz,Grenache,Cinsault", Đỏ,Rượu vang đỏ,: Vieux Clocher,Southern Rhone
VNQW-323,Rượu Vang Vigne Lourac Colombard – Sauvignon,323.000,"Pháp
","12.5 %
","750 ML
","Sauvignon Blanc,Colombard",Vàng rơm ,Rượu Vang Trắng,Domaine Gayrel, Vin de Pays / Comté Tolosan / Côtes du Tarn
VNQW-324,Rượu Vang Vigne Lourac Duras Cabernet Sauvignon,324.000,"Pháp
","12.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,Domaine Gayrel, Vin de Pays / Comté Tolosan / Côtes du Tarn
VNDL7-469,Rượu Vang Vignerons Ardechois Ardeche Buis d’Aps Pinot Noir,469.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Màu đỏ Ruby đậm,Rượu Vang Đỏ,, Vin De Pays
VNDL-357,Rượu Vang Vignerons Ardechois Ardeche Cabernet Sauvignon,357.000,"Pháp
","13.5 %
","750 ML
",Cabernet Sauvignon,Màu đỏ Ruby đậm,Rượu Vang Đỏ,, Vin De Pays
VNDL7-407,Rượu Vang Vignerons Ardechois Ardeche Chardonnay,407.000,"Pháp
","13 %
","750 ML
",Chardonnay,Màu vàng chanh nhạt ánh xanh,Rượu Vang Trắng,, Vin De Pays
VNDL3-644,Rượu Vang Vignerons Ardechois Ardeche Douceurs d’Orelie,614.000,"Pháp
","13 %
","750 ML
","Viognier,Sauvignon Blanc",Màu vàng cam,Rượu Vang Ngọt,Vignerons Ardechois, Vin De Pays
VNDL3-407,Rượu Vang Vignerons Ardechois Ardeche Gamay,407.000,"Pháp
","13.5 %
","750 ML
",Gamay,Màu đỏ Ruby đậm,Rượu Vang Đỏ,, Vin De Pays
VNDL1-357,Rượu Vang Vignerons Ardechois Ardeche Les Classiques Merlot,339.000,"Pháp
","13 %
","750 ML
",Merlot,Màu đỏ Ruby đậm,Rượu Vang Đỏ,, Vin De Pays
VNDL3-357,Rượu Vang Vignerons Ardechois Ardeche Sauvignon Blanc,357.000,"Pháp
","13.5 %
","750 ML
",Sauvignon Blanc,Màu vàng chanh nhạt ánh xanh,Rượu Vang Trắng,, Vin De Pays
VNDL2-357,Rượu Vang Vignerons Ardechois Ardeche Syrah,357.000,"Pháp
","13.5 %
","750 ML
",Syrah,Màu đỏ hồng lựu,Rượu Vang Đỏ,, Vin De Pays
VNDL4-407,Rượu Vang Vignerons Ardechois Ardeche Vin Biologique,389.000,"Pháp
","13.5 %
","750 ML
","Merlot,Syrah,Grenache",Màu đỏ Ruby đậm,Rượu Vang Đỏ,Vignerons Ardechois, Vin De Pays
VNDL9-469,Rượu Vang Vignerons Ardechois Ardeche Viognier,469.000,"Pháp
","13 %
","750 ML
",Viognier,Màu vàng nhạt,Rượu Vang Trắng,, Vin De Pays
VNDL5-407,Rượu Vang Vignerons Ardechois Beaumont Des Gras,407.000,"Pháp
","13.5 %
","750 ML
","Syrah,Grenache",Màu đỏ tươi,Rượu Vang Đỏ,, Vin De Pays
VNDL8-469,Rượu Vang Vignerons Ardechois Cotes Du Rhone Biologique,459.000,"Pháp
","14.5 %
","750 ML
","Grenache,Blend",Màu đỏ rực rỡ,Rượu Vang Đỏ,, Vin De Pays
VNDL6-407,Rượu Vang Vignerons Ardechois Mithra,389.000,"Pháp
","13 %
","750 ML
","Grenache,Syrah",Màu đỏ tía,Rượu Vang Đỏ,, Vin De Pays
VNHD4-2250,Rượu Vang Vignobles Vellas Bergerie De L’Ocellet,2.250.000,"Pháp
","13.5 %
","750 ML
","Syrah,Grenache",Đỏ ruby,Rượu Vang Đỏ,Vignobles Vellas,Languedoc
VNHM1-265,Rượu Vang Vila Ranco Reserva Cabernet Sauvignon,265.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon,,Rượu Vang Đỏ,Villa Ranco,
VNHP1-701,Rượu Vang Villa Angela Pecorino Velenosi,625.000,"Ý
","12.5 %
","750 ML
",: Pecorino, Vàng nhạt,Rượu Vang Trắng,Velenosi,: Marche
VNHP-700,Rượu Vang Villa Angela X Docg Pecorino Velenosi,700.000,"Ý
","13 %
","750 ML
",: Pecorino, Vàng nhạt,Rượu Vang Trắng,Velenosi,: Marche
VNQW-385,Rượu Vang Villa Blanche Marselan Calmel & Joseph,385.000,"Pháp
","13.5 %
","750 ML
",Marselan,Đỏ ruby,Rượu Vang Đỏ,,Languedoc
VNQW2-385,Rượu Vang Villa Blanche Pinot Noir Calmel & Joseph,385.000,"Pháp
","13 %
","750 ML
",Pinot Noir,Đỏ ruby,Rượu Vang Đỏ,Calmel & Joseph,Languedoc
VNQW4-385,Rượu Vang Villa Blanche Sauvignon Blanc,385.000,"Pháp
","12.5 %
","750 ML
",Sauvignon Blanc,Vàng rơm,Rượu Vang Trắng,,Languedoc
VNQW1-385,Rượu Vang Villa Blanche Syrah Calmel & Joseph,385.000,"Pháp
","13.5 %
","750 ML
",Syrah,Đỏ ruby,Rượu Vang Đỏ,,Languedoc
VNPV-549,Rượu Vang Villa Garrel Rose Cotes De Provence,495.000,"Pháp
","12.5 %
","750 ML
","Cinsault,Grenache", Màu hồng ngọc,Rượu vang hồng, Villa Garrel,Cotes de Provence
VNQW-935,Rượu Vang Villa Gresti San Leonardo,935.000,"Ý
","13.5 %
","750 ML
","Merlot,,Camenere",Đỏ Ruby,Rượu Vang Đỏ,San Leandro,:
VNHM1-185,Rượu Vang Villa Inicio Cabernet Sauvignon,185.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,,Rượu Vang Đỏ,Villa Inicio,Central Valley
VNTH1-500,Rượu Vang Villa Jolanda Moscato D’asti,500.000,"Ý
","5.5 %
","750 ML
",Moscato, Vàng nhạt,,: Villa Jolanda,Piemonte
VNPV2-944,Rượu Vang Villa Maria Cellar Selection Pinot Noir,850.000,"New Zealand
","13.5 %
","750 ML
",Pinot Noir, Đỏ ruby,Rượu Vang Đỏ,Villa Maria,: Marlborough
VNPV1-944,Rượu Vang Villa Maria Cellar Selection Sauvignon Blanc,850.000,"New Zealand
","12.5 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,Villa Maria,Marlborough
VNPV4-689,Rượu Vang Villa Maria Lightly Sparkling Sauvignon Blanc,621.000,"New Zealand
","13 %
","750 ML
",Sauvignon Blanc, Vàng nhạt,Rượu Vang Trắng,Villa Maria,Marlborough
VNPV2-689,Rượu Vang Villa Maria Private Bin Cabernet Sauvignon Merlot,621.000,"New Zealand
","12.5 %
","750 ML
","Cabernet Sauvignon,Merlot", Đỏ ruby,Rượu Vang Đỏ,Villa Maria,: North Island
VNPV1-689,Rượu Vang Villa Maria Private Bin Pinot Gris,621.000,"New Zealand
","13 %
","750 ML
",Pinot Gris, Vàng rơm,Rượu Vang Trắng,Villa Maria,: North Island
VNPV-971,Rượu Vang Villa Maria Private Bin Pinot Noir,874.000,"New Zealand
","12.5 %
","750 ML
",Pinot Noir, Đỏ ruby,Rượu Vang Đỏ,Villa Maria,Marlborough
VNPV5-689,Rượu Vang Villa Maria Private Bin Riesling,621.000,"New Zealand
","13 %
","750 ML
",Riesling,,Rượu Vang Trắng,Villa Maria,Marlborough
VNHM2-205,Rượu Vang Villa Ranco Cabernet Sauvignon,205.000,"Chile
","13.5 %
","750 ML
",Cabernet Sauvignon,,Rượu Vang Đỏ,Villa Ranco,Central Valley
VNTK-1934,Rượu Vang Vina Bosconia Tinto Reserva,1.934.000,"Tây Ban Nha
","12.5 %
","750 ML
","Tempranillo,Garnacha,Graciano",Đỏ ruby,Rượu Vang Đỏ,Vina Bosconia,
VNTK2-1667,Rượu Vang Viña Gravonia Blanco Crianza,1.667.000,"Tây Ban Nha
","12.5 %
","750 ML
",: 100% Viura,Vàng rơm,Rượu Vang Trắng,Viña Gravonia, Rioja
VNPV-328,Rượu Vang Vina Maipo Classic Series Cabernet Sauvignon Syrah,296.000,"Chile
","12 %
","750 ML
","Cabernet Sauvignon,Syrah", Đỏ ruby,Rượu Vang Đỏ,Vina Maipo,Central Valley
VNPV1-328,Rượu Vang Vina Maipo Classic Series Chardonnay Sauvignon Blanc,296.000,"Chile
","12.5 %
","750 ML
","Chardonnay,Sauvignon Blanc", Vàng rơm,Rượu Vang Trắng,Vina Maipo,Central Valley
VNPV-778,Rượu Vang Vina Maipo Gran Devocion Cabernet Sauvignon,701.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon, Đỏ ruby,Rượu Vang Đỏ,Vina Maipo,: Maule Valley
VNPV1-442,Rượu Vang Vina Maipo Vitral Reserva Cabernet Sauvignon,396.000,"Chile
","12.5 %
","750 ML
",Cabernet Sauvignon, Đỏ ruby,Rượu Vang Đỏ,Vina Maipo,Central Valley
VNPV-442,Rượu Vang Vina Maipo Vitral Reserva Sauvignon Blanc,396.000,"Chile
","14 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,Vina Maipo,: Casablanca Valley
VNPV2-442,Rượu Vang Vina Maipo Vitral Reserva Syrah,396.000,"Chile
","13.5 %
","750 ML
",Syrah, Đỏ ruby,Rượu Vang Đỏ,Vina Maipo,Central Valley
VNTK3-2334,Rượu Vang Viña Tondonia Blanco Reserva,2.334.000,"Tây Ban Nha
","12.5 %
","750 ML
",": Viura (90%), Malvasía (10%)",Vàng hổ phách,Rượu Vang Trắng,Viña Bosconia, Rioja
VNTK1-2134,Rượu Vang Vina Tondonia Tinto Reserva,2.134.000,"Tây Ban Nha
","13 %
","750 ML
","Tempranillo,Garnacha,Graciano", Đỏ ruby,Rượu Vang Đỏ,Vina Tondonia,
VNHM5-195,Rượu Vang Vina Zamano Tempranillo,195.000,"Tây Ban Nha
","13 %
","750 ML
",Tempranillo,,Rượu Vang Đỏ,Vina Zamano,Rioja
VNMH6-1450,Rượu Vang Vindoro Negroamaro Gold 24 Karat,1.450.000,"Ý
","15 %
","750 ML
", Negroamaro,,Rượu vang Đỏ,,Puglia
VNRVPR95,Rượu Vang Vinedo Chadwick – Vang Chile Hảo Hạng,1,"Chile
","14.5 %
","750 ML
",Cabernet Sauvignon, Màu đỏ tươi,Rượu vang đỏ, Vinedo Chadwick,Maipo Valley
VNADT1-456,Rượu Vang Vinem Crianza Carinena,456.000,"Tây Ban Nha
","14.5 %
","750 ML
","Garnacha,Syrah",Đỏ ruby,Rượu Vang Đỏ,Vinem,
VNADT-456,Rượu Vang Vinem Reserva Carinena,456.000,"Tây Ban Nha
","14.5 %
","750 ML
","Garnacha ,Syrah",Đỏ ruby,Rượu Vang Đỏ,Vinem,: Toro
VNWH1-225,Rượu Vang Vino La Campana Tinto Joven Tinto,225.000,"Tây Ban Nha
","13.5 %
","750 ML
","Tempranillo,Cabernet Sauignon,Merlot", Đỏ ruby,Rượu Vang Đỏ,,
VNPV1-1799,Rượu Vang Vire Clesse Les Heritiers Du Comte Lafon,1.620.000,"Pháp
","13 %
","750 ML
",Chardonnay,Màu vàng,Rượu Vang trắng,Les Heritiers Du Comte Lafon,Bourgogne
VNTBM-213,Rượu Vang Virto Vino Rosso Sensi,213.000,"Ý
","12.5 %
","750 ML
",Rosso,Đỏ ruby,Rượu Vang Đỏ,Sensi Vigne e Vini,Tuscany
VNHP-415,Rượu Vang Visciole Velenosi,415.000,"Ý
","13.5 %
","750 ML
", Larcima và quả anh đào Visciole, Đỏ ruby,Vang Ngọt Đỏ,Velenosi,: Marche
VNMH-200,Rượu Vang Vistana Cabernet Sauvignon – Merlot,200.000,"Chile
","13 %
","750 ML
",,,,,
